Id;Tipo Muert.;Provincia;Canton;Area del Hecho;Lugar;Tipo Lugar;Fecha InfracciÛn;Hora Infraccion;Arma;Tipo Arma;Probable Causa M.;Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anos;Mes
2612;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;TERRENO BALDIO;PUBLICO;17/5/23;14:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA BLANCA;30;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2613;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;17/5/23;14:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2614;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;17/5/23;22:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2615;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;17/5/23;21:25;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2616;ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;18/5/23;05:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2617;ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;RURAL;VIA PUBLICA;PUBLICO;17/5/23;16:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;53;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2618;ASESINATO;LOS RIOS;VENTANAS;URBANO;VIA PUBLICA;PUBLICO;17/5/23;14:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2619;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;17/5/23;16:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2620;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;INTERIOR DE VEHICULO PARTICULAR;PRIVADO;18/5/23;07:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;46;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2621;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;INTERIOR DE VEHICULO PARTICULAR;PRIVADO;18/5/23;07:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2622;ASESINATO;GUAYAS;NARANJAL;RURAL;VIA PUBLICA;PUBLICO;29/4/23;18:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;abril
2623;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;LAGUNA - LAGO;PUBLICO;17/5/23;21:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;23;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2624;ASESINATO;MANABI;MANTA;URBANO;SERVICIOS PUBLICOS;PRIVADO;18/5/23;10:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2625;ASESINATO;MANABI;MANTA;URBANO;SERVICIOS PUBLICOS;PRIVADO;18/5/23;10:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;57;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2626;ASESINATO;MANABI;MANTA;URBANO;SERVICIOS PUBLICOS;PRIVADO;18/5/23;10:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;MUJER;MESTIZO/A;DIVORCIADO;ECUADOR;2023;mayo
2627;ASESINATO;MANABI;MANTA;URBANO;SERVICIOS PUBLICOS;PRIVADO;18/5/23;10:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;49;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2628;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;18/5/23;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;36;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2629;ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;18/5/23;16:35;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2630;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;18/5/23;18:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;0;HOMBRE;MESTIZO/A;NO DETERMINADO;ECUADOR;2023;mayo
